cidade;latitude;longitude
Porto Uniao;-26.2396;-51.08
Goiana;-7.5606;-35.0025
Ijui;-28.3878;-53.9147
Altamira;-3.1996;-52.21
Paracatu;-17.2217;-46.875
Iguatu;-6.3594;-39.2986
Guajara-Mirim;-10.8;-65.3499
Mococa;-21.4678;-47.0047
Fernandopolis;-20.2839;-50.2458
Balsas;-7.5325;-46.0356
Santa Ines;-3.6667;-45.38
EmbuGuacu;-23.8322;-46.8117
Cosmopolis;-22.6458;-47.1961
Lencois Paulista;-22.5986;-48.8003
Tupa;-21.935;-50.5139
Rio Negro;-26.1;-49.79
Santo Angelo;-28.3;-54.28
JiParana;-10.8333;-61.967
Gurupi;-11.7292;-49.0686
Parintins;-2.61;-56.74
Curvelo;-18.7564;-44.4308
Cacador;-26.7753;-51.015
Irece;-11.3042;-41.8558
Valenca;-13.3703;-39.0731
Vilhena;-12.7166;-60.1166
Itapeva;-23.9822;-48.8756
Cruz Alta;-28.6386;-53.6064
Penapolis;-21.42;-50.0778
Canela;-29.36;-50.81
Batatais;-20.8911;-47.585
Pirapora;-17.345;-44.9419
Caratinga;-19.79;-42.14
Itapetinga;-15.2489;-40.2478
Sao Borja;-28.6606;-56.0044
Carazinho;-28.2839;-52.7864
Santa Rosa;-27.8708;-54.4814
Manacapuru;-3.2997;-60.6206
Telemaco Borba;-24.3239;-50.6156
Guanambi;-14.2233;-42.7814
Ariquemes;-9.9396;-63.08
Mirassol;-20.8189;-49.5208
Ibitinga;-21.7578;-48.8289
Timbauba;-7.5053;-35.3183
Picos;-7.0769;-41.4669
Andradina;-20.8654;-51.3157
Braganca;-1.0536;-46.7656
Arcoverde;-8.42;-37.07
Cruzeiro do Sul;-7.63;-72.67
Serrinha;-11.6642;-39.0075
Vacaria;-28.5122;-50.9339
Nova Odessa;-22.7797;-47.2962
Taquaritinga;-21.4058;-48.505
Janauba;-15.8025;-43.3089
Bertioga;-23.8539;-46.1389
Formiga;-20.4644;-45.4264
Registro;-24.4878;-47.8439
Nova Vicosa;-17.8919;-39.3719
Itapipoca;-3.4995;-39.58
Boituva;-23.2833;-47.6722
Estancia;-11.2683;-37.4383
Sao Gabriel;-30.3364;-54.32
Monte Mor;-22.9467;-47.315
Concordia;-27.2342;-52.0278
Sao Jose de Ribamar;-2.55;-44.07
Caico;-6.4596;-37.1
Porto Ferreira;-21.8539;-47.4789
Sao Jose do Rio Pardo;-21.5958;-46.8889
Itupeva;-23.1531;-47.0578
